timestamp,capture_ms,engagement_detection_ms,state_machine_ms,command_build_ms,total_loop_ms,state,engagement_status,engagement_confidence,engagement_reason
2026-06-17T22:31:27.950,5.341,88.609,0.018,0.043,94.683,engaged,engaged,0.96,face_centered
2026-06-17T22:31:28.045,3.172,83.026,0.016,0.037,86.809,engaged,engaged,0.956,face_centered
2026-06-17T22:31:28.140,3.431,82.964,0.017,0.03,86.904,engaged,engaged,0.956,face_centered
2026-06-17T22:31:28.243,3.346,79.677,0.022,0.052,83.684,engaged,engaged,0.96,face_centered
2026-06-17T22:31:28.343,5.098,80.575,0.022,0.124,86.344,engaged,engaged,0.957,face_centered
2026-06-17T22:31:28.452,3.514,89.022,0.023,0.052,93.249,engaged,engaged,0.956,face_centered
2026-06-17T22:31:28.552,3.952,87.767,0.016,0.037,92.314,engaged,engaged,0.957,face_centered
2026-06-17T22:31:28.671,3.034,105.674,0.014,0.033,109.437,engaged,engaged,0.958,face_centered
2026-06-17T22:31:28.772,5.109,93.494,0.015,0.035,99.556,engaged,engaged,0.958,face_centered
2026-06-17T22:31:28.898,3.311,104.365,0.015,0.035,108.368,engaged,engaged,0.956,face_centered
2026-06-17T22:31:29.004,3.571,88.274,0.024,0.051,92.544,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.111,5.344,94.468,0.02,0.046,100.817,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.221,3.438,92.145,0.015,0.034,96.162,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.319,4.724,86.232,0.019,0.042,91.784,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.417,5.017,79.872,0.018,0.045,85.701,engaged,engaged,0.959,face_centered
2026-06-17T22:31:29.522,3.22,82.113,0.023,0.047,85.972,engaged,engaged,0.958,face_centered
2026-06-17T22:31:29.631,6.14,91.168,0.036,0.132,98.226,engaged,engaged,0.958,face_centered
2026-06-17T22:31:29.742,3.879,89.953,0.016,0.049,94.604,engaged,engaged,0.957,face_centered
2026-06-17T22:31:29.850,3.34,91.61,0.015,0.036,95.513,engaged,engaged,0.937,face_centered
2026-06-17T22:31:29.960,3.205,95.174,0.026,0.048,99.186,engaged,engaged,0.912,face_centered
2026-06-17T22:31:30.073,3.553,99.546,0.015,0.036,103.59,engaged,engaged,0.807,face_centered
2026-06-17T22:31:30.192,3.857,96.341,0.024,0.045,100.814,engaged,engaged,0.925,face_centered
2026-06-17T22:31:30.302,3.176,100.379,0.016,0.041,104.281,engaged,engaged,0.923,face_centered
2026-06-17T22:31:30.418,3.373,97.792,0.052,0.088,101.942,disengaged,absent,0.0,no_face_detected
